inspection_id,true_cooling_degraded,true_ventilation_obstructed,true_oil_issue,true_overdue_remedial,has_resolution,has_negation
INS-043-1,False,True,False,False,False,False
INS-043-2,True,False,False,False,False,True
INS-044-1,False,False,False,True,False,True
INS-044-2,False,False,False,True,False,False
INS-045-1,True,True,False,False,False,False
INS-045-2,True,False,False,True,False,False
INS-046-1,False,True,False,True,False,False
INS-046-2,False,True,False,False,True,False
INS-047-1,False,True,True,False,False,False
INS-047-2,False,False,False,False,False,False
INS-048-1,True,True,True,False,False,False
INS-048-2,False,False,True,False,False,False
INS-049-1,False,False,True,False,False,False
INS-049-2,False,False,False,False,False,False
INS-050-1,True,False,False,True,True,False
INS-050-2,True,True,True,False,False,False
INS-051-1,False,False,False,False,False,False
INS-051-2,False,False,True,True,False,False
INS-052-1,False,False,False,False,True,False
INS-052-2,False,True,False,True,False,False
INS-053-1,False,True,False,False,False,False
INS-053-2,True,True,False,False,False,False
INS-054-1,False,False,False,False,False,False
INS-054-2,False,False,False,False,False,True
INS-055-1,True,False,False,False,False,False
INS-055-2,False,False,False,False,False,False
INS-056-1,False,False,False,True,True,False
INS-056-2,False,False,False,True,False,False
INS-057-1,False,False,False,False,False,False
INS-057-2,True,False,False,False,False,False
INS-058-1,True,False,True,False,False,True
INS-058-2,True,False,True,True,False,False
INS-059-1,False,True,False,False,False,False
INS-059-2,True,False,False,True,False,False
INS-060-1,False,False,False,False,False,False
INS-060-2,False,False,False,False,False,False
INS-061-1,True,False,False,False,False,False
INS-061-2,False,False,False,False,False,False
INS-062-1,False,False,True,False,False,False
INS-062-2,False,False,False,True,False,False
INS-063-1,False,False,False,False,False,False
INS-063-2,False,False,True,True,False,False
INS-064-1,False,False,False,False,False,False
INS-064-2,True,True,False,False,False,False
INS-065-1,False,True,False,False,False,False
INS-065-2,False,False,False,False,False,False
INS-066-1,False,False,False,False,False,True
INS-066-2,True,False,False,True,False,False
INS-067-1,False,True,True,False,False,False
INS-067-2,False,False,False,True,False,False
INS-068-1,False,False,False,False,False,False
INS-068-2,False,False,False,False,False,False
INS-069-1,False,False,False,True,False,False
INS-069-2,True,True,False,True,False,False
INS-070-1,True,True,True,False,False,False
INS-070-2,True,False,False,False,False,False
INS-071-1,True,True,False,False,False,False
INS-071-2,True,True,False,False,False,False
INS-072-1,False,True,True,False,False,False
INS-072-2,False,False,False,False,False,False
INS-073-1,False,False,False,True,False,False
INS-073-2,False,False,False,True,False,False
INS-074-1,True,False,True,False,False,False
INS-074-2,False,False,False,False,True,False
INS-075-1,False,False,False,False,False,True
INS-075-2,False,False,False,False,False,False
INS-076-1,False,False,False,False,True,False
INS-076-2,False,False,True,False,False,False
INS-077-1,False,False,True,False,False,False
INS-077-2,False,False,False,False,False,False
INS-078-1,False,False,True,False,True,False
INS-078-2,True,False,False,False,True,False
INS-079-1,False,True,False,False,False,False
INS-079-2,False,True,False,False,False,False
INS-080-1,False,False,False,False,False,False
INS-080-2,False,True,False,False,False,False
INS-081-1,False,False,False,False,False,False
INS-081-2,False,False,False,True,False,False
INS-082-1,False,False,False,False,False,False
INS-082-2,False,True,False,False,False,False
INS-083-1,False,False,False,False,False,False
INS-083-2,False,False,False,False,False,False
INS-084-1,False,True,False,False,False,False
INS-084-2,False,False,True,False,False,True
INS-085-1,False,False,False,False,False,True
INS-085-2,True,False,True,False,False,False
INS-086-1,False,False,False,False,False,False
INS-086-2,False,False,False,False,False,False
INS-087-1,False,True,True,False,True,False
INS-087-2,False,True,True,True,False,False
INS-088-1,False,True,False,False,False,False
INS-088-2,True,False,True,True,False,False
INS-089-1,False,False,False,False,False,False
INS-089-2,False,False,False,False,False,False
INS-090-1,False,False,False,False,True,False
INS-090-2,False,False,False,True,False,False
INS-091-1,False,False,True,False,False,True
INS-091-2,False,False,False,True,False,False
INS-092-1,False,True,True,True,False,False
INS-092-2,True,False,True,False,False,False
INS-093-1,False,True,True,False,False,False
INS-093-2,False,False,False,False,False,False
INS-094-1,False,False,False,False,False,False
INS-094-2,True,False,False,False,False,False
INS-095-1,False,False,False,False,False,False
INS-095-2,False,True,False,False,False,False
INS-096-1,False,True,False,False,False,False
INS-096-2,False,False,False,False,True,False
INS-097-1,False,False,True,True,False,False
INS-097-2,False,True,False,False,True,False
INS-098-1,False,False,False,False,False,False
INS-098-2,True,False,False,False,False,False
INS-099-1,False,False,False,True,False,False
INS-099-2,False,True,False,True,False,False
INS-100-1,False,False,False,False,False,False
INS-100-2,False,False,False,False,False,False
INS-101-1,True,True,False,True,False,False
INS-101-2,True,True,False,True,False,False
INS-102-1,False,False,False,False,False,False
INS-102-2,False,False,False,False,False,False
INS-103-1,True,False,True,False,False,False
INS-103-2,True,False,False,False,False,False
INS-104-1,False,False,True,False,False,False
INS-104-2,False,False,False,True,False,False
INS-105-1,False,False,False,False,False,True
INS-105-2,False,False,False,False,False,False
INS-106-1,False,False,True,False,False,False
INS-106-2,False,False,True,False,False,False
INS-107-1,False,False,False,False,False,False
INS-107-2,False,False,False,False,False,False
INS-108-1,False,False,False,False,False,False
INS-108-2,False,False,False,False,True,False
INS-109-1,False,False,False,True,False,False
INS-109-2,True,False,False,False,False,False
INS-110-1,False,False,False,False,True,False
INS-110-2,True,True,False,False,False,False
INS-111-1,False,True,True,True,False,False
INS-111-2,False,False,True,False,False,False
INS-112-1,True,True,False,False,False,False
INS-112-2,False,False,True,True,False,False
INS-113-1,False,True,True,False,False,False
INS-113-2,True,False,False,False,False,False
INS-114-1,False,False,False,False,False,True
INS-114-2,False,False,False,False,False,True
INS-115-1,False,False,False,False,False,False
INS-115-2,False,False,True,False,False,False
INS-116-1,False,False,False,False,False,False
INS-116-2,False,False,False,False,False,False
INS-117-1,True,False,False,False,False,True
INS-117-2,False,True,True,False,False,True
INS-118-1,True,True,False,False,True,False
INS-118-2,True,True,False,False,False,False
INS-119-1,False,False,False,False,False,False
INS-119-2,False,True,False,True,False,True
INS-120-1,False,True,True,False,False,False
INS-120-2,False,False,False,False,False,False
INS-121-1,False,True,False,True,False,False
INS-121-2,False,True,True,True,False,False
INS-122-1,False,False,True,False,False,False
INS-122-2,False,False,False,False,False,False
INS-123-1,True,False,True,False,True,False
INS-123-2,False,False,False,False,True,False
INS-124-1,False,False,False,False,False,False
INS-124-2,False,False,False,False,False,False
INS-125-1,True,False,False,False,False,False
INS-125-2,True,False,True,True,False,False
INS-126-1,False,False,False,False,False,False
INS-126-2,False,False,False,False,False,False
INS-127-1,False,False,False,False,False,False
INS-127-2,False,False,False,False,False,False
INS-128-1,True,True,False,True,False,False
INS-128-2,False,False,False,False,True,False
INS-129-1,False,False,False,False,False,False
INS-129-2,False,True,False,False,False,False
INS-130-1,True,False,True,False,False,False
INS-130-2,False,True,False,False,False,False
INS-131-1,False,True,False,False,False,False
INS-131-2,False,True,False,False,False,False
INS-132-1,False,False,False,False,False,False
INS-132-2,False,False,False,False,False,False
INS-133-1,False,False,True,False,False,False
INS-133-2,False,False,False,False,True,False
INS-134-1,False,False,False,False,False,False
INS-134-2,False,False,False,False,False,False
INS-135-1,False,False,False,True,False,False
INS-135-2,False,False,True,False,False,False
INS-136-1,False,True,False,False,False,False
INS-136-2,False,True,False,True,False,True
INS-137-1,True,False,True,False,False,False
INS-137-2,False,True,True,True,False,False
INS-138-1,False,False,False,False,False,False
INS-138-2,False,False,False,False,False,False
INS-139-1,False,False,False,False,False,False
INS-139-2,False,False,False,False,False,False
INS-140-1,True,False,False,True,False,False
INS-140-2,False,False,False,True,False,True
INS-141-1,False,True,True,False,False,False
INS-141-2,True,False,False,False,False,True
INS-142-1,False,False,False,False,False,True
INS-142-2,True,True,True,False,False,False
INS-143-1,False,True,False,False,False,True
INS-143-2,False,False,False,False,True,False
INS-144-1,True,False,False,False,False,False
INS-144-2,True,False,False,False,False,False
INS-145-1,False,False,False,False,True,False
INS-145-2,False,False,True,True,False,False
INS-146-1,False,False,False,True,False,True
INS-146-2,True,False,False,True,False,False
INS-147-1,False,False,False,False,False,False
INS-147-2,False,False,False,False,False,False
INS-148-1,False,False,False,False,False,False
INS-148-2,False,False,False,False,False,False
INS-149-1,False,False,False,False,False,False
INS-149-2,False,False,False,False,False,False
INS-150-1,False,False,False,False,False,True
INS-150-2,False,False,False,False,False,False
INS-151-1,True,False,False,False,False,False
INS-151-2,False,False,False,False,False,False
INS-152-1,False,False,False,False,False,False
INS-152-2,True,True,False,False,False,False
INS-153-1,False,False,False,False,False,False
INS-153-2,False,False,False,False,False,False
INS-154-1,False,False,False,False,False,False
INS-154-2,False,False,False,False,False,False
INS-155-1,False,False,False,False,True,False
INS-155-2,True,False,False,False,False,False
INS-156-1,True,False,False,False,False,False
INS-156-2,True,False,True,False,True,False
INS-157-1,False,False,False,False,False,False
INS-157-2,False,False,False,False,False,True
INS-158-1,False,False,False,False,False,False
INS-158-2,False,False,False,False,False,True
INS-159-1,False,False,False,False,False,False
INS-159-2,False,False,True,False,False,False
INS-160-1,True,True,False,False,False,False
INS-160-2,False,False,False,False,True,False
INS-161-1,False,False,False,False,False,False
INS-161-2,False,True,False,False,False,False
INS-162-1,False,False,False,False,True,False
INS-162-2,False,False,True,False,False,False
INS-163-1,False,False,False,False,False,False
INS-163-2,False,False,False,True,False,False
INS-164-1,False,True,True,True,False,False
INS-164-2,True,True,True,False,False,False
INS-165-1,False,False,False,True,False,True
INS-165-2,False,True,True,False,False,False
INS-166-1,False,False,False,True,False,False
INS-166-2,False,False,False,False,False,False
INS-167-1,False,False,False,False,False,False
INS-167-2,False,False,False,False,False,False
INS-168-1,False,False,True,False,False,False
INS-168-2,False,False,False,False,False,True
INS-169-1,False,False,True,False,False,False
INS-169-2,False,False,False,False,True,False
INS-170-1,False,False,False,True,False,False
INS-170-2,True,False,False,False,False,False
INS-171-1,True,False,False,False,False,False
INS-171-2,False,False,True,False,False,False
INS-172-1,False,False,False,True,False,False
INS-172-2,True,False,True,True,False,False
INS-173-1,False,False,True,True,False,False
INS-173-2,False,False,True,False,False,False
INS-174-1,False,False,True,False,False,False
INS-174-2,False,False,False,False,False,False
INS-175-1,False,True,False,False,False,True
INS-175-2,True,False,True,False,False,False
INS-176-1,True,True,False,False,False,False
INS-176-2,False,False,True,True,False,False
INS-177-1,False,False,False,False,False,False
INS-177-2,True,False,False,True,False,False
INS-178-1,False,False,False,True,False,False
INS-178-2,True,False,False,False,False,False
INS-179-1,False,False,False,False,False,False
INS-179-2,True,False,False,False,False,True
INS-180-1,False,False,False,True,False,False
INS-180-2,False,False,False,False,False,False
INS-181-1,False,True,False,False,False,True
INS-181-2,False,False,True,False,False,False
INS-182-1,False,False,False,False,False,False
INS-182-2,False,False,True,False,False,False
INS-183-1,False,False,True,False,False,False
INS-183-2,False,False,False,False,False,False
INS-184-1,False,False,False,False,False,False
INS-184-2,False,False,False,False,False,False
INS-185-1,False,False,False,False,False,False
INS-185-2,False,False,False,False,False,False
INS-186-1,True,True,False,True,False,False
INS-186-2,False,True,False,True,False,False
INS-187-1,True,False,True,True,False,False
INS-187-2,False,True,True,False,True,False
INS-188-1,True,True,False,True,False,False
INS-188-2,False,False,True,True,False,False
INS-189-1,False,False,False,False,False,False
INS-189-2,True,False,False,False,False,False
INS-190-1,False,False,False,False,False,False
INS-190-2,False,False,False,False,False,False
INS-191-1,False,False,False,False,True,False
INS-191-2,False,False,False,False,False,False
INS-192-1,True,False,False,True,False,False
INS-192-2,True,False,False,False,False,False
INS-193-1,True,False,False,False,True,False
INS-193-2,False,True,True,True,False,False
INS-194-1,False,False,False,False,False,False
INS-194-2,False,False,False,False,False,False
INS-195-1,False,False,False,False,False,False
INS-195-2,False,False,False,False,False,False
INS-196-1,False,False,False,False,False,False
INS-196-2,False,False,False,False,True,False
INS-197-1,False,False,True,True,False,False
INS-197-2,False,True,False,False,False,False
INS-198-1,False,False,True,False,False,False
INS-198-2,False,False,False,False,False,False
INS-199-1,False,False,True,False,False,False
INS-199-2,True,True,False,False,False,False
INS-200-1,False,False,False,False,False,False
INS-200-2,False,False,False,False,False,False
INS-201-1,True,False,True,False,False,False
INS-201-2,False,False,False,True,False,False
INS-202-1,False,False,False,False,False,False
INS-202-2,False,False,False,False,False,False
INS-203-1,False,False,False,False,True,False
INS-203-2,False,True,False,True,False,False
INS-204-1,True,False,False,False,False,False
INS-204-2,False,False,False,False,False,False
INS-205-1,False,False,True,False,False,False
INS-205-2,False,False,False,False,True,False
INS-206-1,False,False,False,False,False,False
INS-206-2,True,False,False,True,False,False
INS-207-1,False,False,False,False,False,False
INS-207-2,True,False,True,True,False,False
INS-208-1,False,False,False,False,False,False
INS-208-2,False,False,False,False,False,False
INS-209-1,False,False,True,False,False,False
INS-209-2,False,True,False,False,False,False
INS-210-1,False,False,True,False,False,False
INS-210-2,False,False,False,False,False,False
INS-211-1,False,False,True,False,False,False
INS-211-2,False,False,False,False,False,True
INS-212-1,False,False,False,True,False,False
INS-212-2,False,False,False,False,False,False
INS-213-1,False,False,False,False,False,False
INS-213-2,True,False,True,False,False,False
INS-214-1,True,False,True,True,False,False
INS-214-2,False,True,False,False,True,False
INS-215-1,False,False,True,False,True,False
INS-215-2,True,False,False,True,False,False
INS-216-1,False,True,True,False,False,False
INS-216-2,False,False,True,True,False,False
INS-217-1,False,False,False,False,False,True
INS-217-2,False,False,False,True,False,False
INS-218-1,False,True,True,True,False,False
INS-218-2,False,False,False,False,False,False
INS-219-1,False,False,True,False,False,False
INS-219-2,True,True,False,False,False,False
INS-220-1,False,True,False,False,False,True
INS-220-2,False,True,False,True,True,False
INS-221-1,False,False,False,False,False,False
INS-221-2,False,False,False,False,False,False
INS-222-1,False,True,True,False,False,False
INS-222-2,False,False,False,False,False,False
INS-223-1,False,False,False,True,False,False
INS-223-2,True,False,True,False,False,False
INS-224-1,False,True,True,False,False,False
INS-224-2,True,True,False,False,True,False
INS-225-1,False,True,False,True,False,False
INS-225-2,True,False,False,False,False,True
INS-226-1,False,False,True,False,False,False
INS-226-2,False,False,False,False,False,False
INS-227-1,False,False,False,False,True,False
INS-227-2,False,False,False,False,False,False
INS-228-1,False,False,False,False,False,False
INS-228-2,False,False,False,False,True,False
INS-229-1,False,False,False,True,True,False
INS-229-2,True,False,False,False,False,False
INS-230-1,True,True,True,False,False,False
INS-230-2,False,False,True,False,False,False
INS-231-1,True,True,True,False,False,False
INS-231-2,True,False,True,True,False,False
INS-232-1,False,False,True,True,False,False
INS-232-2,True,False,True,False,False,False
INS-233-1,True,False,True,False,False,False
INS-233-2,False,False,True,True,False,False
INS-234-1,False,False,False,False,False,False
INS-234-2,False,True,False,False,False,False
INS-235-1,False,False,False,False,False,False
INS-235-2,False,True,False,False,False,False
INS-236-1,False,False,False,False,False,False
INS-236-2,False,False,False,False,False,False
INS-237-1,False,False,False,False,False,False
INS-237-2,False,False,False,False,False,False
INS-238-1,False,False,False,False,False,False
INS-238-2,False,False,False,False,False,False
INS-239-1,False,True,False,False,False,False
INS-239-2,False,False,False,False,True,False
INS-240-1,False,True,True,False,False,False
INS-240-2,False,False,False,False,False,False
INS-241-1,False,True,False,False,False,True
INS-241-2,True,False,False,False,True,False
INS-242-1,False,False,False,False,False,False
INS-242-2,True,False,True,False,False,False
INS-243-1,False,False,True,True,False,False
INS-243-2,False,True,True,True,False,False
INS-244-1,True,False,False,False,False,False
INS-244-2,True,True,False,True,False,False
INS-245-1,False,False,True,True,False,False
INS-245-2,True,False,True,True,False,False
INS-246-1,False,False,False,True,False,False
INS-246-2,False,False,False,False,False,False
INS-247-1,False,False,False,False,False,False
INS-247-2,False,False,False,False,False,False
INS-248-1,False,False,False,False,False,False
INS-248-2,False,True,True,False,False,False
INS-249-1,False,False,False,False,False,False
INS-249-2,True,False,True,False,False,False
INS-250-1,False,False,True,True,True,False
INS-250-2,False,False,False,True,False,False
INS-251-1,False,False,False,True,True,False
INS-251-2,False,False,True,False,False,True
INS-252-1,False,False,False,False,False,True
INS-252-2,False,False,False,False,False,False
INS-253-1,False,True,True,True,False,False
INS-253-2,False,False,False,False,False,False
INS-254-1,False,False,False,False,False,False
INS-254-2,False,False,False,False,False,False
INS-255-1,False,False,True,True,True,False
INS-255-2,False,True,False,False,False,False
INS-256-1,False,True,False,False,True,False
INS-256-2,True,False,False,True,False,False
INS-257-1,False,False,False,False,False,False
INS-257-2,False,False,False,False,False,False
INS-258-1,False,False,False,False,False,False
INS-258-2,False,False,False,False,False,False
INS-259-1,False,False,False,False,False,False
INS-259-2,False,False,False,False,True,False
INS-260-1,True,True,True,False,False,False
INS-260-2,False,False,True,False,False,False
INS-261-1,False,True,False,True,False,False
INS-261-2,False,False,False,True,False,False
INS-262-1,False,False,False,False,False,False
INS-262-2,False,False,False,False,False,False
INS-263-1,False,False,False,False,False,False
INS-263-2,False,True,False,False,False,False
INS-264-1,False,False,False,False,True,False
INS-264-2,True,False,True,False,False,False
INS-265-1,False,False,False,False,False,False
INS-265-2,True,True,False,False,False,False
INS-266-1,False,True,False,True,False,False
INS-266-2,False,True,False,False,False,True
INS-267-1,True,False,False,False,False,False
INS-267-2,False,False,True,True,False,False
INS-268-1,False,False,False,False,False,False
INS-268-2,False,False,False,False,False,False
INS-269-1,True,False,True,False,True,False
INS-269-2,True,True,False,False,False,False
INS-270-1,False,False,False,False,False,False
INS-270-2,False,False,False,False,False,False
INS-271-1,False,True,False,True,False,False
INS-271-2,False,False,False,False,True,False
INS-272-1,False,False,False,False,False,False
INS-272-2,True,True,False,False,False,False
INS-273-1,False,False,False,False,False,False
INS-273-2,True,False,False,False,False,False
INS-274-1,True,False,False,False,False,False
INS-274-2,False,True,False,True,False,False
INS-275-1,False,False,False,False,False,False
INS-275-2,False,False,False,False,False,False
INS-276-1,False,True,False,False,True,False
INS-276-2,False,True,False,False,False,False
INS-277-1,False,False,False,False,False,False
INS-277-2,False,False,False,False,False,False
INS-278-1,True,False,False,True,True,False
INS-278-2,False,True,False,False,False,False
INS-279-1,False,False,False,False,False,False
INS-279-2,False,False,False,False,False,False
INS-280-1,False,False,False,False,True,False
INS-280-2,False,False,False,False,False,False
INS-281-1,True,False,False,True,False,False
INS-281-2,False,False,False,True,False,False
INS-282-1,False,False,False,True,False,False
INS-282-2,False,False,False,False,False,False
INS-283-1,False,False,True,False,False,False
INS-283-2,False,False,False,False,True,False
INS-284-1,False,False,False,True,False,False
INS-284-2,False,False,False,False,False,False
INS-285-1,False,False,False,False,False,False
INS-285-2,True,True,False,False,False,False
INS-286-1,False,False,False,True,False,False
INS-286-2,True,False,True,False,True,False
INS-287-1,True,False,True,True,False,False
INS-287-2,False,True,False,True,False,False
INS-288-1,True,True,False,False,True,False
INS-288-2,False,False,True,False,False,False
INS-289-1,False,False,False,True,False,False
INS-289-2,False,False,True,True,False,False
INS-290-1,False,False,False,False,True,False
INS-290-2,True,False,True,False,False,False
INS-291-1,False,False,False,True,False,False
INS-291-2,False,False,False,False,False,False
INS-292-1,False,False,False,True,False,False
INS-292-2,False,False,False,False,False,False
INS-293-1,True,False,True,False,False,False
INS-293-2,False,True,False,False,False,False
INS-294-1,False,True,False,False,False,False
INS-294-2,False,False,True,False,False,False
INS-295-1,False,False,False,True,True,False
INS-295-2,False,True,False,True,False,False
INS-296-1,False,False,False,False,False,False
INS-296-2,False,False,False,False,False,False
INS-297-1,True,False,False,False,False,False
INS-297-2,False,True,False,False,False,False
INS-298-1,False,False,False,False,False,False
INS-298-2,False,True,False,False,False,False
INS-299-1,True,False,False,False,False,False
INS-299-2,False,False,True,False,False,False
INS-300-1,True,False,False,False,False,False
INS-300-2,False,True,False,False,False,False
INS-301-1,False,False,False,False,False,True
INS-301-2,False,False,False,False,False,True
INS-302-1,False,False,False,False,False,False
INS-302-2,False,False,False,False,False,True
INS-303-1,False,False,False,True,False,False
INS-303-2,False,False,True,True,False,False
INS-304-1,False,False,False,False,False,True
INS-304-2,False,False,False,False,False,False
INS-305-1,False,False,False,False,False,False
INS-305-2,False,True,False,False,False,False
INS-306-1,True,False,False,True,False,False
INS-306-2,False,True,True,True,False,False
INS-307-1,False,False,True,True,False,False
INS-307-2,True,False,False,False,False,False
INS-308-1,False,False,False,False,False,False
INS-308-2,False,True,False,False,True,False
INS-309-1,False,False,True,False,False,False
INS-309-2,False,False,False,False,False,False
INS-310-1,True,False,False,True,False,False
INS-310-2,False,False,False,False,False,False
INS-311-1,False,False,False,False,False,False
INS-311-2,False,True,True,False,False,False
INS-312-1,False,False,True,False,False,False
INS-312-2,False,False,False,True,False,False
INS-313-1,True,True,False,False,False,False
INS-313-2,False,True,True,True,False,False
INS-314-1,False,True,False,False,False,False
INS-314-2,False,True,False,False,False,False
INS-315-1,False,False,False,False,False,False
INS-315-2,False,False,False,False,False,True
INS-316-1,False,False,True,False,False,False
INS-316-2,False,False,True,False,False,False
INS-317-1,False,False,True,False,False,False
INS-317-2,False,False,False,False,False,False
INS-318-1,False,False,False,False,False,False
INS-318-2,False,False,False,False,False,False
INS-319-1,False,False,True,False,False,True
INS-319-2,True,False,False,True,True,False
INS-320-1,False,False,False,False,False,False
INS-320-2,True,False,False,True,False,False
INS-321-1,False,True,False,False,False,False
INS-321-2,False,True,True,True,False,False
INS-322-1,False,False,False,False,False,False
INS-322-2,False,False,False,False,False,False
INS-323-1,False,False,True,False,False,False
INS-323-2,True,True,False,False,False,False
INS-324-1,False,False,False,False,False,False
INS-324-2,False,False,False,False,True,False
INS-325-1,False,False,True,True,False,False
INS-325-2,False,False,False,False,False,False
INS-326-1,False,False,False,False,False,False
INS-326-2,False,False,False,False,False,False
INS-327-1,False,False,False,False,False,False
INS-327-2,False,False,True,False,False,False
INS-328-1,True,False,False,False,False,False
INS-328-2,True,False,True,False,False,False
INS-329-1,False,True,False,False,True,False
INS-329-2,False,False,True,False,False,False
INS-330-1,False,True,True,False,False,False
INS-330-2,False,False,False,False,False,False
INS-331-1,False,False,False,False,False,False
INS-331-2,True,False,False,False,False,False
INS-332-1,False,False,False,False,False,False
INS-332-2,True,False,True,True,False,False
INS-333-1,True,False,False,False,False,False
INS-333-2,False,False,False,False,False,False
INS-334-1,False,False,False,False,False,False
INS-334-2,False,False,False,False,False,False
INS-335-1,True,False,True,False,False,False
INS-335-2,False,False,False,False,True,False
INS-336-1,False,True,False,True,False,False
INS-336-2,False,True,False,False,False,False
INS-337-1,False,False,False,False,False,False
INS-337-2,False,False,True,True,False,True
INS-338-1,True,False,False,False,False,False
INS-338-2,False,False,False,False,False,False
INS-339-1,True,False,True,True,False,False
INS-339-2,False,False,False,True,False,False
INS-340-1,False,False,False,False,False,False
INS-340-2,True,True,False,True,False,False
INS-341-1,False,False,False,False,False,False
INS-341-2,True,False,False,False,False,False
INS-342-1,False,False,False,False,False,False
INS-342-2,False,True,True,False,False,False
INS-343-1,False,False,True,False,False,False
INS-343-2,False,False,True,False,False,False
INS-344-1,False,False,False,False,False,False
INS-344-2,False,False,False,False,False,False
INS-345-1,False,True,False,False,False,False
INS-345-2,False,False,False,False,False,False
INS-346-1,False,False,False,False,False,False
INS-346-2,False,False,False,False,False,False
INS-347-1,False,False,False,True,False,False
INS-347-2,False,False,False,False,False,False
INS-348-1,False,False,False,False,False,False
INS-348-2,True,False,True,False,True,False
INS-349-1,True,False,False,False,True,False
INS-349-2,True,False,False,False,False,True
INS-350-1,False,False,False,False,True,False
INS-350-2,False,False,False,False,False,False
INS-351-1,False,False,False,False,False,False
INS-351-2,True,False,False,False,False,False
INS-352-1,True,True,False,False,False,True
INS-352-2,False,False,False,False,False,False
INS-353-1,True,False,False,False,False,False
INS-353-2,False,False,False,False,False,False
INS-354-1,True,False,False,False,False,False
INS-354-2,False,False,False,False,False,True
INS-355-1,False,True,False,False,False,False
INS-355-2,False,False,False,False,False,False
INS-356-1,False,False,False,False,False,True
INS-356-2,False,False,True,True,False,False
INS-357-1,True,False,False,False,False,False
INS-357-2,False,False,True,False,False,False
INS-358-1,False,True,False,False,False,False
INS-358-2,False,True,False,True,False,False
INS-359-1,False,True,False,False,False,False
INS-359-2,False,True,False,True,False,False
INS-360-1,False,True,False,False,False,False
INS-360-2,True,False,False,False,False,True
INS-361-1,False,False,False,True,True,False
INS-361-2,True,False,False,False,False,False
INS-362-1,False,True,False,False,True,False
INS-362-2,False,False,False,True,False,False
INS-363-1,False,False,False,False,False,True
INS-363-2,False,True,False,True,True,False
INS-364-1,True,False,True,False,True,False
INS-364-2,False,False,False,False,False,False
INS-365-1,False,True,True,True,False,False
INS-365-2,False,True,False,False,False,False
