asset_id,name,district,lat,lon,install_year,rated_capacity_mva,cooling_type,peak_load_pct,customers_served,criticality,last_maintenance_date,prior_heat_faults
SUB-INL-018,Fairmount Hollow 230/34kV,Cedar Basin,38.4967,-121.2237,1998,100,ONAN,0.924,45000,2,2022-07-06,0
SUB-INL-019,Marlow Mill 115/12kV,Ridgeline,38.3582,-121.504,1997,25,ONAN,0.945,8286,5,2021-11-24,2
SUB-INL-020,Ashford Yard 230/34kV,Junction West,38.5588,-121.7803,1993,100,ONAF,0.88,21326,3,2023-10-12,0
SUB-INL-021,Kingsley Hollow 115/12kV,Northfield,38.7449,-121.5671,1987,25,OFAF,0.902,12538,5,2023-08-19,0
SUB-INL-022,Wexford Terrace 138/13kV,Cedar Basin,38.5306,-121.1623,1977,50,ONAN,0.607,22565,1,2023-03-14,1
SUB-INL-023,Pinecrest Ridge 230/34kV,Ridgeline,38.4147,-121.7594,1994,100,OFAF,0.645,39179,1,2025-09-02,1
SUB-INL-024,Granite Park 138/13kV,Junction West,38.7195,-121.7962,2007,50,ONAN,0.752,23041,4,2022-04-23,2
SUB-INL-025,Cedar Junction 69/12kV,Northfield,38.7923,-121.2851,1997,10,ONAF,0.572,3151,2,2025-08-18,1
SUB-INL-026,Meadow Crossing 230/34kV,Cedar Basin,38.4619,-121.3063,1996,100,ONAF,0.864,45000,1,2024-03-17,1
SUB-INL-027,Fairmount Yard 69/12kV,Ridgeline,38.4361,-121.6098,2009,10,OFAF,0.609,3813,3,2024-01-08,1
SUB-INL-028,Bellview Creek 115/12kV,Junction West,38.6969,-121.8661,1978,25,ONAF,0.804,11014,2,2021-11-26,0
SUB-INL-029,Granite Junction 115/12kV,Northfield,38.6787,-121.4664,1981,25,ONAF,0.64,5203,2,2023-04-15,1
SUB-INL-030,Granite Landing 138/13kV,Cedar Basin,38.4795,-121.1143,1994,50,ONAF,0.8,22940,2,2023-03-24,0
SUB-INL-031,Meadow Ridge 115/12kV,Ridgeline,38.3349,-121.5953,1997,25,ONAF,0.676,11099,5,2025-03-06,1
SUB-INL-032,Marlow Heights 69/12kV,Junction West,38.5742,-121.7491,1975,10,ONAN,0.676,6286,1,2022-05-29,1
SUB-INL-033,Redwater Junction 138/13kV,Northfield,38.6552,-121.5752,2003,50,ONAN,0.933,34653,1,2022-11-09,2
SUB-INL-034,Redwater Mill 138/13kV,Cedar Basin,38.5023,-121.1388,1996,50,ONAF,0.616,19375,4,2021-12-28,0
SUB-INL-035,Fairmount Crossing 138/13kV,Ridgeline,38.4602,-121.5972,2014,50,ONAF,0.707,15309,5,2024-11-21,0
SUB-INL-036,Fairmount Springs 138/13kV,Junction West,38.5153,-121.8304,1987,50,ONAN,0.643,37177,1,2022-01-07,0
SUB-INL-037,Halloway Springs 115/12kV,Northfield,38.5682,-121.5144,1992,25,ONAF,0.81,4650,1,2025-08-20,2
SUB-INL-038,Bellview Junction 115/12kV,Cedar Basin,38.5601,-121.1833,1990,25,OFAF,0.752,13556,5,2021-12-20,3
SUB-INL-039,Fairmount Mill 115/12kV,Ridgeline,38.3701,-121.5754,1990,25,ONAN,0.686,7876,2,2025-08-08,0
SUB-INL-040,Cedar Yard 69/12kV,Junction West,38.4697,-121.7961,2007,10,ONAN,0.831,5209,2,2024-01-05,2
SUB-INL-041,Bellview Mill 115/12kV,Northfield,38.6159,-121.4664,1998,25,OFAF,0.596,12208,4,2023-08-19,1
SUB-INL-042,Wexford Springs 115/12kV,Cedar Basin,38.5324,-121.0461,1994,25,ONAF,0.689,18893,5,2025-04-06,0
SUB-INL-043,Meadow Park 69/12kV,Ridgeline,38.3617,-121.7397,1999,10,ONAF,0.867,3583,5,2022-03-12,0
SUB-INL-044,Meadow Landing 115/12kV,Junction West,38.6403,-121.9417,2000,25,ONAN,0.594,12991,5,2023-12-01,2
SUB-INL-045,Thornton Creek 230/34kV,Northfield,38.6647,-121.3094,1997,100,OFAF,0.552,45000,1,2024-03-01,1
SUB-INL-046,Ashford Ridge 69/12kV,Cedar Basin,38.4163,-121.4272,1986,10,ONAN,0.891,3723,4,2023-04-02,0
SUB-INL-047,Granite Yard 115/12kV,Ridgeline,38.2398,-121.5278,1986,25,ONAN,0.837,9725,5,2023-06-30,2
SUB-INL-048,Halloway Terrace 115/12kV,Junction West,38.4856,-121.9458,1978,25,ONAN,0.916,13333,5,2024-12-11,1
SUB-INL-049,Kingsley Junction 115/12kV,Northfield,38.6418,-121.424,1975,25,ONAN,0.718,13203,1,2023-06-22,2
SUB-INL-050,Wexford Crossing 69/12kV,Cedar Basin,38.5534,-121.257,2005,10,ONAF,0.786,2367,2,2023-06-14,1
SUB-INL-051,Redwater Hollow 69/12kV,Ridgeline,38.3747,-121.5422,1984,10,ONAF,0.864,4859,5,2024-04-21,0
SUB-INL-052,Pinecrest Yard 115/12kV,Junction West,38.5549,-121.8292,2015,25,ONAN,0.775,8957,5,2024-09-01,0
SUB-INL-053,Cedar Springs 138/13kV,Northfield,38.8057,-121.6427,2010,50,ONAN,0.566,23998,3,2021-12-15,0
SUB-INL-054,Marlow Terrace 69/12kV,Cedar Basin,38.4879,-121.3028,1988,10,ONAN,0.574,4007,2,2022-07-14,1
SUB-INL-055,Ashford Hollow 115/12kV,Ridgeline,38.4031,-121.6732,1986,25,ONAN,0.753,13484,1,2025-01-31,1
SUB-INL-056,Cedar Creek 115/12kV,Junction West,38.7015,-121.9953,1999,25,ONAF,0.823,7516,2,2023-07-29,0
SUB-INL-057,Ashford Springs 115/12kV,Northfield,38.7603,-121.4348,2008,25,ONAN,0.605,7212,3,2023-09-18,1
SUB-INL-058,Thornton Yard 69/12kV,Cedar Basin,38.6002,-121.1031,1973,10,ONAF,0.89,2439,4,2022-11-13,0
SUB-INL-059,Marlow Landing 230/34kV,Ridgeline,38.2596,-121.579,1993,100,OFAF,0.732,45000,4,2022-02-08,2
SUB-INL-060,Stonebridge Heights 138/13kV,Junction West,38.7125,-121.7328,1984,50,ONAN,0.581,26894,4,2025-03-29,0
SUB-INL-061,Marlow Junction 115/12kV,Northfield,38.8714,-121.2844,1972,25,ONAN,0.906,8848,4,2023-01-21,1
SUB-INL-062,Stonebridge Mill 69/12kV,Cedar Basin,38.3928,-121.2146,1995,10,ONAN,0.947,4940,3,2022-07-08,1
SUB-INL-063,Fairmount Creek 230/34kV,Ridgeline,38.3264,-121.6471,2004,100,ONAF,0.668,40052,4,2025-01-11,2
SUB-INL-064,Marlow Creek 115/12kV,Junction West,38.5239,-121.8875,1982,25,ONAN,0.821,15393,2,2022-05-04,1
SUB-INL-065,Wexford Creek 138/13kV,Northfield,38.7018,-121.492,2013,50,ONAF,0.713,19227,3,2021-12-30,0
SUB-INL-066,Ashford Junction 230/34kV,Cedar Basin,38.4075,-121.2533,1986,100,ONAN,0.894,45000,1,2023-10-26,1
SUB-INL-067,Marlow Park 115/12kV,Ridgeline,38.3294,-121.4707,1997,25,ONAF,0.863,10860,2,2023-02-10,1
SUB-INL-068,Redwater Crossing 230/34kV,Junction West,38.7285,-121.6246,2003,100,ONAN,0.942,31443,1,2023-09-06,0
SUB-INL-069,Stonebridge Yard 138/13kV,Northfield,39.0061,-121.3634,2005,50,ONAF,0.791,22509,2,2023-03-10,1
SUB-INL-070,Redwater Yard 69/12kV,Cedar Basin,38.5403,-121.1718,1986,10,ONAN,0.932,4740,1,2022-08-14,0
SUB-INL-071,Wexford Mill 69/12kV,Ridgeline,38.4148,-121.7008,1998,10,ONAF,0.737,4428,2,2024-04-26,0
SUB-INL-072,Halloway Landing 69/12kV,Junction West,38.4297,-121.9663,1989,10,ONAN,0.668,5540,4,2024-09-17,4
SUB-INL-073,Halloway Crossing 69/12kV,Northfield,38.5666,-121.515,1984,10,ONAF,0.616,3697,1,2023-12-29,0
SUB-INL-074,Wexford Yard 69/12kV,Cedar Basin,38.5531,-121.3482,2002,10,ONAF,0.854,3393,4,2023-08-06,1
SUB-INL-075,Stonebridge Hollow 230/34kV,Ridgeline,38.3463,-121.6769,1978,100,ONAN,0.715,39737,1,2022-10-14,1
SUB-INL-076,Halloway Hollow 138/13kV,Junction West,38.7227,-121.9593,2002,50,ONAN,0.926,35543,3,2023-07-22,2
SUB-INL-077,Fairmount Heights 115/12kV,Northfield,38.7268,-121.4395,1990,25,OFAF,0.743,12425,3,2022-05-23,1
SUB-INL-078,Redwater Creek 115/12kV,Cedar Basin,38.5879,-121.191,1981,25,ONAN,0.793,10424,1,2022-03-13,1
SUB-INL-079,Granite Ridge 115/12kV,Ridgeline,38.0116,-121.7351,1980,25,ONAN,0.918,3854,5,2025-02-13,0
SUB-INL-080,Stonebridge Creek 69/12kV,Junction West,38.5998,-121.7533,1985,10,ONAN,0.92,3629,4,2023-01-23,0
SUB-INL-081,Fairmount Junction 138/13kV,Northfield,38.6532,-121.3568,1969,50,ONAN,0.611,13335,2,2024-07-27,1
SUB-INL-082,Pinecrest Mill 230/34kV,Cedar Basin,38.4729,-121.3375,1984,100,ONAF,0.93,29863,3,2022-10-25,0
SUB-INL-083,Willow Springs 69/12kV,Ridgeline,38.2136,-121.5502,1995,10,ONAF,0.947,4902,1,2023-05-11,1
SUB-INL-084,Ashford Creek 115/12kV,Junction West,38.5901,-121.7583,2009,25,ONAF,0.754,20144,4,2022-10-03,1
SUB-INL-085,Kingsley Springs 138/13kV,Northfield,38.7203,-121.4094,1985,50,ONAF,0.812,18596,3,2023-11-02,1
SUB-INL-086,Cedar Crossing 115/12kV,Cedar Basin,38.4159,-121.3019,1981,25,ONAN,0.66,9021,5,2021-12-07,0
SUB-INL-087,Fairmount Park 69/12kV,Ridgeline,38.3955,-121.7697,1995,10,OFAF,0.794,4802,2,2022-09-23,0
SUB-INL-088,Bellview Park 138/13kV,Junction West,38.555,-121.7463,1984,50,ONAF,0.9,32580,2,2023-08-13,1
SUB-INL-089,Pinecrest Springs 230/34kV,Northfield,38.7829,-121.4308,2003,100,ONAN,0.648,30784,3,2022-04-08,4
SUB-INL-090,Thornton Park 138/13kV,Cedar Basin,38.5235,-121.173,1988,50,ONAN,0.784,13276,2,2022-11-23,0
SUB-INL-091,Kingsley Mill 69/12kV,Ridgeline,38.3346,-121.6765,2001,10,ONAF,0.886,6391,1,2023-05-30,0
SUB-INL-092,Granite Terrace 138/13kV,Junction West,38.5178,-121.7696,1978,50,ONAF,0.798,19841,5,2023-11-22,2
SUB-INL-093,Halloway Creek 69/12kV,Northfield,38.6833,-121.5658,1999,10,OFAF,0.621,4394,5,2023-10-15,0
SUB-INL-094,Fairmount Landing 115/12kV,Cedar Basin,38.451,-121.0996,1989,25,ONAN,0.841,14198,4,2022-07-05,1
SUB-INL-095,Bellview Yard 115/12kV,Ridgeline,38.2412,-121.5169,1987,25,OFAF,0.878,13254,4,2024-03-20,0
SUB-INL-096,Halloway Park 115/12kV,Junction West,38.5784,-121.7808,1998,25,OFAF,0.588,9774,3,2025-01-08,0
SUB-INL-097,Kingsley Terrace 115/12kV,Northfield,38.6525,-121.4612,1975,25,ONAN,0.811,12585,1,2024-10-14,1
SUB-INL-098,Willow Landing 69/12kV,Cedar Basin,38.4483,-121.0856,2003,10,ONAN,0.845,3144,3,2023-06-25,0
SUB-INL-099,Meadow Springs 138/13kV,Ridgeline,38.1312,-121.7601,1989,50,ONAN,0.851,21528,3,2022-11-02,0
SUB-INL-100,Stonebridge Crossing 69/12kV,Junction West,38.6166,-121.7034,1980,10,ONAN,0.811,6142,5,2025-07-07,0
SUB-INL-101,Kingsley Creek 115/12kV,Northfield,38.5924,-121.5468,2004,25,ONAF,0.666,18001,5,2021-11-14,1
SUB-INL-102,Thornton Ridge 115/12kV,Cedar Basin,38.4773,-121.3134,2001,25,ONAF,0.654,20196,1,2023-11-02,0
SUB-INL-103,Wexford Landing 138/13kV,Ridgeline,38.373,-121.5424,2001,50,ONAN,0.776,16467,2,2025-01-22,1
SUB-INL-104,Thornton Landing 69/12kV,Junction West,38.6552,-121.8027,1981,10,ONAF,0.74,3849,4,2022-08-07,1
SUB-INL-105,Granite Crossing 69/12kV,Northfield,38.8536,-121.5352,1992,10,ONAN,0.719,2797,4,2024-06-27,0
SUB-INL-106,Meadow Creek 69/12kV,Cedar Basin,38.4308,-121.0047,2003,10,ONAN,0.794,3396,2,2024-04-26,0
SUB-INL-107,Meadow Hollow 230/34kV,Ridgeline,38.177,-121.7825,2007,100,ONAN,0.891,16998,1,2022-09-06,2
SUB-INL-108,Halloway Junction 230/34kV,Junction West,38.5481,-121.7396,1974,100,OFAF,0.618,45000,2,2025-06-11,2
SUB-INL-109,Granite Hollow 230/34kV,Northfield,38.7224,-121.3887,1986,100,ONAN,0.591,45000,3,2022-07-07,2
SUB-INL-110,Wexford Heights 115/12kV,Cedar Basin,38.3473,-121.2254,1987,25,ONAN,0.73,11008,5,2024-03-05,1
SUB-INL-111,Kingsley Heights 138/13kV,Ridgeline,38.3365,-121.4234,1991,50,ONAN,0.839,17254,2,2021-10-24,0
SUB-INL-112,Fairmount Terrace 69/12kV,Junction West,38.5248,-121.7304,1991,10,ONAF,0.818,4226,2,2023-07-25,0
SUB-INL-113,Meadow Yard 230/34kV,Northfield,38.7221,-121.494,1986,100,ONAF,0.775,45000,3,2022-01-03,0
SUB-INL-114,Cedar Terrace 138/13kV,Cedar Basin,38.5154,-121.1875,2002,50,ONAN,0.902,10624,3,2024-11-17,0
SUB-INL-115,Bellview Crossing 115/12kV,Ridgeline,38.1484,-121.5568,1983,25,OFAF,0.935,9218,4,2023-12-15,1
SUB-INL-116,Pinecrest Creek 115/12kV,Junction West,38.6678,-121.8126,2004,25,OFAF,0.793,5182,5,2024-02-19,0
SUB-INL-117,Willow Hollow 115/12kV,Northfield,38.6592,-121.4036,1987,25,ONAN,0.9,7112,4,2022-03-03,0
SUB-INL-118,Bellview Terrace 115/12kV,Cedar Basin,38.4595,-121.212,1988,25,ONAF,0.566,16306,1,2023-05-17,1
SUB-INL-119,Kingsley Yard 69/12kV,Ridgeline,38.2433,-121.5011,1979,10,ONAF,0.874,5575,2,2023-09-22,1
SUB-INL-120,Meadow Mill 138/13kV,Junction West,38.6385,-121.7505,2004,50,ONAF,0.947,19949,3,2024-04-02,1
SUB-INL-121,Wexford Junction 138/13kV,Northfield,38.7706,-121.5563,1984,50,ONAN,0.574,20694,1,2024-02-20,1
SUB-INL-122,Willow Heights 115/12kV,Cedar Basin,38.476,-121.1275,2006,25,OFAF,0.674,9311,2,2022-11-11,0
SUB-INL-123,Bellview Landing 69/12kV,Ridgeline,38.4264,-121.7163,2011,10,OFAF,0.887,6845,5,2022-12-31,1
SUB-INL-124,Ashford Crossing 138/13kV,Junction West,38.7326,-121.6797,1990,50,ONAF,0.733,22876,5,2021-10-31,0
SUB-INL-125,Bellview Heights 115/12kV,Northfield,38.7503,-121.5224,1986,25,OFAF,0.795,16642,1,2022-10-19,0
SUB-INL-126,Pinecrest Park 69/12kV,Cedar Basin,38.4936,-121.1582,1981,10,OFAF,0.645,8251,2,2022-06-03,0
SUB-INL-127,Ashford Heights 69/12kV,Ridgeline,38.363,-121.5213,1975,10,ONAF,0.631,3509,3,2025-02-05,2
SUB-INL-128,Halloway Heights 230/34kV,Junction West,38.6896,-121.7026,1985,100,ONAN,0.858,31910,2,2023-10-21,1
SUB-INL-129,Redwater Springs 115/12kV,Northfield,38.8029,-121.3811,1994,25,ONAN,0.925,7813,3,2025-01-16,0
SUB-INL-130,Cedar Hollow 69/12kV,Cedar Basin,38.4704,-121.476,1989,10,ONAF,0.741,4671,3,2025-07-26,0
SUB-INL-131,Redwater Park 69/12kV,Ridgeline,38.3661,-121.3707,1992,10,ONAF,0.909,7114,4,2022-10-25,1
SUB-INL-132,Kingsley Ridge 138/13kV,Junction West,38.5897,-121.583,1994,50,ONAF,0.689,18722,3,2022-01-30,1
SUB-INL-133,Ashford Mill 230/34kV,Northfield,38.7236,-121.5558,1985,100,ONAF,0.636,45000,5,2023-03-06,1
SUB-INL-134,Pinecrest Hollow 69/12kV,Cedar Basin,38.4953,-121.0214,1993,10,OFAF,0.612,1949,5,2024-10-17,0
SUB-INL-135,Ashford Landing 69/12kV,Ridgeline,38.41,-121.6529,1990,10,ONAN,0.741,4475,4,2022-10-13,0
SUB-INL-136,Willow Crossing 69/12kV,Junction West,38.5035,-121.8218,1984,10,ONAF,0.863,4265,3,2022-11-12,2
SUB-INL-137,Halloway Yard 138/13kV,Northfield,38.7009,-121.3951,1982,50,ONAN,0.851,34187,1,2024-12-18,0
SUB-INL-138,Marlow Crossing 69/12kV,Cedar Basin,38.3302,-121.3614,1978,10,ONAF,0.922,5209,2,2022-11-21,1
SUB-INL-139,Thornton Crossing 230/34kV,Ridgeline,38.323,-121.6182,2017,100,ONAF,0.582,16425,5,2023-12-06,0
SUB-INL-140,Meadow Junction 115/12kV,Junction West,38.6883,-121.8948,1989,25,ONAN,0.64,13056,3,2023-11-21,4
SUB-INL-141,Marlow Ridge 115/12kV,Northfield,38.5597,-121.5123,1983,25,ONAN,0.618,17326,5,2023-03-06,0
SUB-INL-142,Willow Mill 69/12kV,Cedar Basin,38.4534,-121.2756,2009,10,ONAN,0.875,3783,5,2025-06-15,0
SUB-INL-143,Granite Heights 230/34kV,Ridgeline,38.2554,-121.6371,1979,100,OFAF,0.656,32310,5,2021-09-12,0
SUB-INL-144,Redwater Landing 115/12kV,Junction West,38.5988,-121.9208,1982,25,ONAN,0.552,9953,4,2023-04-05,2
SUB-INL-145,Meadow Heights 69/12kV,Northfield,38.7093,-121.5859,1990,10,ONAN,0.626,5213,1,2022-08-16,0
SUB-INL-146,Stonebridge Ridge 115/12kV,Cedar Basin,38.4443,-121.176,1988,25,ONAF,0.711,6562,4,2023-08-03,1
SUB-INL-147,Kingsley Crossing 138/13kV,Ridgeline,38.212,-121.6081,1998,50,ONAF,0.666,31960,3,2024-01-14,3
SUB-INL-148,Marlow Springs 69/12kV,Junction West,38.6479,-121.5277,1982,10,OFAF,0.71,4419,5,2025-08-06,0
SUB-INL-149,Stonebridge Park 69/12kV,Northfield,38.7373,-121.3381,1993,10,OFAF,0.641,5614,2,2025-01-18,0
SUB-INL-150,Thornton Junction 230/34kV,Cedar Basin,38.5085,-121.1845,1984,100,OFAF,0.841,32150,4,2023-07-17,0
