asset_id,condition,tau_hours
SUB-SGW-163,0.1768,5.528
SUB-SGW-164,0.5732,4.135
SUB-SGW-165,0.4956,3.561
SUB-SGW-166,0.6059,4.793
SUB-SGW-167,0.4486,5.812
SUB-SGW-168,0.492,4.779
SUB-SGW-169,0.2892,5.542
SUB-SGW-170,0.4995,4.819
SUB-SGW-171,0.3258,5.717
SUB-SGW-172,0.4654,3.403
SUB-SGW-173,0.3045,6.604
SUB-SGW-174,0.1488,3.888
SUB-SGW-175,0.6569,5.794
SUB-SGW-176,0.6309,4.728
SUB-SGW-177,0.2211,4.884
SUB-SGW-178,0.3077,4.759
SUB-SGW-179,0.157,5.256
SUB-SGW-180,0.1328,5.458
SUB-SGW-181,0.3385,6.058
SUB-SGW-182,0.1925,6.408
SUB-SGW-183,0.3512,5.332
SUB-SGW-184,0.308,6.714
SUB-SGW-185,0.2559,5.093
SUB-SGW-186,0.5276,6.077
SUB-SGW-187,0.283,5.429
SUB-SGW-188,0.3838,4.451
SUB-SGW-189,0.2348,5.181
SUB-SGW-190,0.3725,5.503
SUB-SGW-191,0.3661,4.968
SUB-SGW-192,0.714,5.413
SUB-SGW-193,0.728,5.865
SUB-SGW-194,0.3709,4.977
SUB-SGW-195,0.0,3.0
SUB-SGW-196,0.245,6.678
SUB-SGW-197,0.4627,4.702
SUB-SGW-198,0.3834,4.177
SUB-SGW-199,0.2614,3.876
SUB-SGW-200,0.1851,4.664
SUB-SGW-201,0.3975,4.437
SUB-SGW-202,0.4116,4.263
SUB-SGW-203,0.5134,4.318
SUB-SGW-204,0.2368,5.53
SUB-SGW-205,0.2768,7.03
SUB-SGW-206,0.412,5.821
SUB-SGW-207,0.4048,6.123
SUB-SGW-208,0.3534,4.623
SUB-SGW-209,0.5346,5.105
SUB-SGW-210,0.3478,5.426
SUB-SGW-211,0.2742,4.34
SUB-SGW-212,0.202,4.574
SUB-SGW-213,0.263,5.855
SUB-SGW-214,0.5761,6.09
SUB-SGW-215,0.7581,5.067
SUB-SGW-216,0.2834,3.805
SUB-SGW-217,0.229,4.704
SUB-SGW-218,0.2681,3.559
SUB-SGW-219,0.4044,5.075
SUB-SGW-220,0.7448,5.255
SUB-SGW-221,0.3539,4.729
SUB-SGW-222,0.4051,5.242
SUB-SGW-223,0.7722,5.417
SUB-SGW-224,0.774,5.257
SUB-SGW-225,0.6512,3.798
SUB-SGW-226,0.2533,4.747
SUB-SGW-227,0.3757,5.41
SUB-SGW-228,0.2489,6.579
SUB-SGW-229,0.3121,4.728
SUB-SGW-230,0.3805,5.551
SUB-SGW-231,0.7359,5.878
SUB-SGW-232,0.5575,4.803
SUB-SGW-233,0.2427,6.148
SUB-SGW-234,0.2116,6.202
SUB-SGW-235,0.2827,6.38
SUB-SGW-236,0.1071,5.458
SUB-SGW-237,0.3435,7.36
SUB-SGW-238,0.1232,4.385
SUB-SGW-239,0.5817,7.124
SUB-SGW-240,0.5422,5.768
SUB-SGW-241,0.6351,6.34
SUB-SGW-242,0.5231,4.68
SUB-SGW-243,0.7151,5.844
SUB-SGW-244,0.4898,6.427
SUB-SGW-245,0.7217,3.913
SUB-SGW-246,0.277,4.837
SUB-SGW-247,0.0999,3.0
SUB-SGW-248,0.4686,4.822
SUB-SGW-249,0.304,4.184
SUB-SGW-250,0.3851,4.782
SUB-SGW-251,0.3389,7.924
SUB-SGW-252,0.5969,6.718
SUB-SGW-253,0.58,3.561
SUB-SGW-254,0.0,5.556
SUB-SGW-255,0.5482,5.799
SUB-SGW-256,0.634,4.662
SUB-SGW-257,0.0355,5.178
SUB-SGW-258,0.2267,5.276
SUB-SGW-259,0.1768,3.653
SUB-SGW-260,0.4381,3.969
SUB-SGW-261,0.5855,5.172
SUB-SGW-262,0.2644,5.099
SUB-SGW-263,0.115,4.291
SUB-SGW-264,0.6787,4.206
SUB-SGW-265,0.3138,4.91
SUB-SGW-266,0.3642,5.886
SUB-SGW-267,0.4384,4.924
SUB-SGW-268,0.4918,6.623
SUB-SGW-269,0.6397,4.304
SUB-SGW-270,0.1412,5.193
SUB-SGW-271,0.6179,4.646
SUB-SGW-272,0.1414,5.588
SUB-SGW-273,0.1617,4.218
SUB-SGW-274,0.3462,6.927
SUB-SGW-275,0.2621,3.309
SUB-SGW-276,0.4861,6.715
SUB-SGW-277,0.0,5.09
SUB-SGW-278,0.5026,5.552
SUB-SGW-279,0.362,6.335
SUB-SGW-280,0.2905,5.858
SUB-SGW-281,0.4518,4.27
SUB-SGW-282,0.2957,5.6
SUB-SGW-283,0.3544,6.867
SUB-SGW-284,0.2695,4.113
SUB-SGW-285,0.2222,7.118
SUB-SGW-286,0.6587,5.386
SUB-SGW-287,0.6865,4.567
SUB-SGW-288,0.8131,4.107
SUB-SGW-289,0.56,4.777
SUB-SGW-290,0.4927,3.045
SUB-SGW-291,0.3895,4.585
SUB-SGW-292,0.5664,4.737
SUB-SGW-293,0.6127,3.926
SUB-SGW-294,0.3042,5.748
SUB-SGW-295,0.5613,4.781
SUB-SGW-296,0.0,4.364
SUB-SGW-297,0.3966,4.675
SUB-SGW-298,0.1657,5.355
SUB-SGW-299,0.2177,5.073
SUB-SGW-300,0.3767,4.299
SUB-SGW-301,0.2145,5.126
SUB-SGW-302,0.5495,4.949
SUB-SGW-303,0.3655,3.861
SUB-SGW-304,0.2139,4.711
SUB-SGW-305,0.1808,5.579
SUB-SGW-306,0.6819,5.572
SUB-SGW-307,0.4248,4.77
SUB-SGW-308,0.3428,5.677
SUB-SGW-309,0.2653,4.02
SUB-SGW-310,0.2878,4.051
SUB-SGW-311,0.5157,4.749
SUB-SGW-312,0.648,6.498
SUB-SGW-313,0.4357,5.163
SUB-SGW-314,0.351,4.725
SUB-SGW-315,0.1081,6.544
SUB-SGW-316,0.3445,4.713
SUB-SGW-317,0.2483,7.235
SUB-SGW-318,0.1843,4.489
SUB-SGW-319,0.6221,3.988
SUB-SGW-320,0.3283,4.834
SUB-SGW-321,0.4886,4.751
SUB-SGW-322,0.174,4.192
SUB-SGW-323,0.4911,7.602
SUB-SGW-324,0.2429,5.319
SUB-SGW-325,0.4211,5.464
SUB-SGW-326,0.1633,4.538
SUB-SGW-327,0.1071,4.422
SUB-SGW-328,0.3844,6.026
SUB-SGW-329,0.3632,3.324
SUB-SGW-330,0.4141,3.857
SUB-SGW-331,0.6917,4.753
SUB-SGW-332,0.7815,6.351
SUB-SGW-333,0.3275,4.625
SUB-SGW-334,0.4747,5.416
SUB-SGW-335,0.5549,5.028
SUB-SGW-336,0.3926,6.296
SUB-SGW-337,0.602,3.415
SUB-SGW-338,0.2792,5.736
SUB-SGW-339,0.3462,4.801
SUB-SGW-340,0.6126,5.925
SUB-SGW-341,0.45,4.181
SUB-SGW-342,0.1837,5.024
SUB-SGW-343,0.2152,4.897
SUB-SGW-344,0.0287,3.998
SUB-SGW-345,0.1217,3.72
SUB-SGW-346,0.0,4.42
SUB-SGW-347,0.4714,5.13
SUB-SGW-348,0.5573,4.243
SUB-SGW-349,0.4622,4.67
SUB-SGW-350,0.3091,3.114
SUB-SGW-351,0.4181,4.629
SUB-SGW-352,0.2111,6.024
SUB-SGW-353,0.1163,5.705
SUB-SGW-354,0.4191,4.913
SUB-SGW-355,0.3515,5.244
SUB-SGW-356,0.6777,4.172
SUB-SGW-357,0.3217,6.624
SUB-SGW-358,0.2597,7.068
SUB-SGW-359,0.1646,5.165
SUB-SGW-360,0.6726,7.591
SUB-SGW-361,0.4883,4.32
SUB-SGW-362,0.7312,3.749
SUB-SGW-363,0.2296,4.29
SUB-SGW-364,0.5805,4.781
SUB-SGW-365,1.0,7.312
SUB-SGW-366,0.5385,4.719
SUB-SGW-367,0.1247,4.14
SUB-SGW-368,0.0,4.102
SUB-SGW-369,0.5312,6.14
SUB-SGW-370,0.1563,5.997
SUB-SGW-371,0.7552,4.515
SUB-SGW-372,0.0681,3.124
SUB-SGW-373,0.5635,3.871
SUB-SGW-374,0.0769,6.721
SUB-SGW-375,0.6983,5.689
SUB-SGW-376,0.2133,5.065
SUB-SGW-377,0.1953,6.869
SUB-SGW-378,0.2663,6.958
SUB-SGW-379,0.3134,4.964
SUB-SGW-380,0.4316,4.982
SUB-SGW-381,0.5716,4.418
SUB-SGW-382,0.5132,4.715
SUB-SGW-383,0.0,3.514
SUB-SGW-384,0.5425,3.51
SUB-SGW-385,0.2706,3.277
SUB-SGW-386,0.0941,6.084
SUB-SGW-387,0.2294,3.439
SUB-SGW-388,0.2482,6.95
SUB-SGW-389,0.348,4.27
SUB-SGW-390,0.0656,6.737
SUB-SGW-391,0.6396,4.635
SUB-SGW-392,0.2042,3.434
SUB-SGW-393,0.6808,6.284
SUB-SGW-394,0.2883,6.402
SUB-SGW-395,0.8197,4.094
SUB-SGW-396,0.7105,4.668
SUB-SGW-397,0.4823,4.094
SUB-SGW-398,0.1571,4.879
SUB-SGW-399,0.0526,5.108
SUB-SGW-400,0.3886,4.649
SUB-SGW-401,0.1589,3.181
SUB-SGW-402,0.6222,4.419
SUB-SGW-403,0.3688,5.704
SUB-SGW-404,0.1733,4.791
SUB-SGW-405,0.5681,4.673
SUB-SGW-406,0.3917,4.069
SUB-SGW-407,0.3069,4.39
SUB-SGW-408,0.7446,6.409
SUB-SGW-409,0.5074,3.86
SUB-SGW-410,0.3343,5.721
SUB-SGW-411,0.6445,5.047
SUB-SGW-412,0.0787,5.245
SUB-SGW-413,0.4611,4.268
SUB-SGW-414,0.4457,4.648
SUB-SGW-415,0.6703,4.994
SUB-SGW-416,0.3932,4.479
SUB-SGW-417,0.4161,5.331
SUB-SGW-418,0.569,5.457
SUB-SGW-419,0.3068,7.173
SUB-SGW-420,0.4401,5.278
SUB-SGW-421,0.2666,3.088
SUB-SGW-422,0.3973,6.163
SUB-SGW-423,0.2435,4.796
SUB-SGW-424,0.5978,7.012
SUB-SGW-425,0.7101,6.471
SUB-SGW-426,0.502,4.495
SUB-SGW-427,0.4189,5.722
SUB-SGW-428,0.3351,4.406
SUB-SGW-429,0.0752,5.003
SUB-SGW-430,0.5054,5.676
SUB-SGW-431,0.4784,6.113
SUB-SGW-432,0.6048,5.895
SUB-SGW-433,0.3611,5.075
SUB-SGW-434,0.6107,7.483
SUB-SGW-435,0.6234,4.635
SUB-SGW-436,0.5168,3.393
SUB-SGW-437,0.3955,3.585
SUB-SGW-438,0.4062,6.474
SUB-SGW-439,0.4272,4.923
SUB-SGW-440,0.363,5.159
SUB-SGW-441,0.6906,4.457
SUB-SGW-442,0.359,4.547
SUB-SGW-443,0.5009,4.213
SUB-SGW-444,0.2822,5.471
SUB-SGW-445,0.6897,4.903
SUB-SGW-446,0.1983,5.435
SUB-SGW-447,0.3095,5.339
SUB-SGW-448,0.2551,4.574
SUB-SGW-449,0.4554,3.541
SUB-SGW-450,0.3407,3.454
SUB-SGW-451,0.0984,8.0
SUB-SGW-452,0.5205,6.478
SUB-SGW-453,0.3075,6.34
SUB-SGW-454,0.6991,4.325
SUB-SGW-455,0.2426,5.01
SUB-SGW-456,0.2825,4.185
SUB-SGW-457,0.4334,3.688
SUB-SGW-458,0.2461,4.411
SUB-SGW-459,0.0,6.326
SUB-SGW-460,0.4214,5.841
SUB-SGW-461,0.1347,4.03
SUB-SGW-462,0.2418,4.685
SUB-SGW-463,0.2544,5.749
SUB-SGW-464,0.1548,4.429
SUB-SGW-465,0.3904,5.08
SUB-SGW-466,0.3558,5.402
SUB-SGW-467,0.4775,5.391
SUB-SGW-468,0.2633,5.254
SUB-SGW-469,0.2455,4.346
SUB-SGW-470,0.1975,4.449
SUB-SGW-471,0.2402,3.866
SUB-SGW-472,0.4523,3.439
SUB-SGW-473,0.1191,4.885
SUB-SGW-474,0.4664,5.816
SUB-SGW-475,0.3725,3.62
SUB-SGW-476,0.3733,5.273
SUB-SGW-477,0.7692,5.785
SUB-SGW-478,0.15,3.163
SUB-SGW-479,0.2012,4.729
SUB-SGW-480,0.486,6.646
SUB-SGW-481,0.4018,5.552
SUB-SGW-482,0.4365,3.13
SUB-SGW-483,0.2671,5.658
SUB-SGW-484,0.3964,4.252
SUB-SGW-485,0.0765,5.691
SUB-SGW-486,0.0688,4.31
SUB-SGW-487,0.0687,4.947
SUB-SGW-488,0.2539,4.462
SUB-SGW-489,0.5171,5.003
SUB-SGW-490,0.3895,4.433
SUB-SGW-491,0.4325,4.776
SUB-SGW-492,0.502,3.824
SUB-SGW-493,0.6448,5.491
SUB-SGW-494,0.721,5.175
SUB-SGW-495,0.4166,3.383
SUB-SGW-496,0.4881,5.993
SUB-SGW-497,0.3363,4.824
SUB-SGW-498,0.7231,5.162
SUB-SGW-499,0.4622,5.765
SUB-SGW-500,0.223,5.328
SUB-SGW-501,0.6486,6.165
SUB-SGW-502,0.2484,4.707
SUB-SGW-503,0.3861,6.034
SUB-SGW-504,0.3021,5.123
SUB-SGW-505,0.3643,5.508
SUB-SGW-506,0.6414,5.404
SUB-SGW-507,0.0987,6.241
SUB-SGW-508,0.6572,5.721
SUB-SGW-509,0.4618,4.557
SUB-SGW-510,1.0,4.359
SUB-SGW-511,0.3916,4.95
SUB-SGW-512,0.3309,4.24
SUB-SGW-513,0.0928,3.948
SUB-SGW-514,0.5521,3.0
SUB-SGW-515,0.3401,3.451
SUB-SGW-516,0.3732,6.985
SUB-SGW-517,0.6778,4.343
SUB-SGW-518,0.4961,6.903
SUB-SGW-519,0.2544,5.403
SUB-SGW-520,0.1567,4.95
SUB-SGW-521,0.3147,3.499
SUB-SGW-522,0.5954,5.005
SUB-SGW-523,0.3531,6.892
SUB-SGW-524,0.5854,6.558
SUB-SGW-525,0.4418,5.274
SUB-SGW-526,0.3855,3.851
SUB-SGW-527,0.29,4.043
SUB-SGW-528,0.312,4.147
SUB-SGW-529,0.3689,6.278
SUB-SGW-530,0.2326,6.632
SUB-SGW-531,0.0165,5.196
SUB-SGW-532,0.2592,4.697
SUB-SGW-533,0.5505,6.549
SUB-SGW-534,0.3694,4.021
SUB-SGW-535,0.3045,5.052
SUB-SGW-536,0.0946,5.463
SUB-SGW-537,0.4818,4.137
SUB-SGW-538,0.3453,4.364
SUB-SGW-539,0.3109,4.286
SUB-SGW-540,0.2356,6.417
SUB-SGW-541,0.2252,6.914
SUB-SGW-542,0.365,5.115
SUB-SGW-543,0.4406,4.732
SUB-SGW-544,0.4255,4.4
SUB-SGW-545,0.4184,5.002
SUB-SGW-546,0.3668,4.45
SUB-SGW-547,0.3775,4.903
SUB-SGW-548,0.5037,5.413
SUB-SGW-549,0.4229,4.595
SUB-SGW-550,0.4128,4.81
SUB-SGW-551,0.0538,4.815
SUB-SGW-552,0.308,4.682
SUB-SGW-553,0.4135,4.559
SUB-SGW-554,0.0774,5.762
SUB-SGW-555,0.2657,3.229
SUB-SGW-556,0.2906,6.574
SUB-SGW-557,0.3139,5.136
SUB-SGW-558,0.1293,5.61
SUB-SGW-559,0.6328,5.725
SUB-SGW-560,0.2165,4.292
SUB-SGW-561,0.3359,4.086
SUB-SGW-562,0.2237,3.968
SUB-SGW-563,0.3842,4.753
SUB-SGW-564,0.3963,5.699
SUB-SGW-565,0.0326,4.416
SUB-SGW-566,0.1594,5.608
SUB-SGW-567,0.5558,3.0
SUB-SGW-568,0.4287,4.614
SUB-SGW-569,0.0,6.167
SUB-SGW-570,0.6417,4.829
SUB-SGW-571,0.1592,4.171
SUB-SGW-572,0.4691,4.343
SUB-SGW-573,0.4795,3.0
SUB-SGW-574,0.6604,3.988
SUB-SGW-575,0.4211,6.057
SUB-SGW-576,0.3032,4.417
SUB-SGW-577,0.4753,4.535
SUB-SGW-578,0.5013,3.0
SUB-SGW-579,0.7503,3.369
SUB-SGW-580,0.1416,6.19
SUB-SGW-581,0.4006,5.617
SUB-SGW-582,0.3638,3.703
SUB-SGW-583,0.4586,4.369
SUB-SGW-584,0.5457,4.971
SUB-SGW-585,0.5172,3.804
SUB-SGW-586,0.3033,3.0
SUB-SGW-587,0.4811,4.841
SUB-SGW-588,0.1481,5.573
SUB-SGW-589,0.4819,5.592
SUB-SGW-590,0.0039,5.875
SUB-SGW-591,0.5485,3.446
SUB-SGW-592,0.3403,5.058
SUB-SGW-593,0.622,4.732
SUB-SGW-594,0.5967,4.913
SUB-SGW-595,0.603,4.788
SUB-SGW-596,0.038,4.34
SUB-SGW-597,0.4132,3.0
SUB-SGW-598,0.2622,6.162
SUB-SGW-599,0.4182,5.33
SUB-SGW-600,0.5485,3.516
SUB-SGW-601,0.5151,5.473
SUB-SGW-602,0.1424,4.553
SUB-SGW-603,0.4478,4.581
SUB-SGW-604,0.8317,4.232
SUB-SGW-605,0.8316,5.537
SUB-SGW-606,0.0,4.2
SUB-SGW-607,0.299,3.903
SUB-SGW-608,0.3152,6.132
SUB-SGW-609,0.381,4.821
SUB-SGW-610,0.314,4.853
SUB-SGW-611,0.1835,5.692
SUB-SGW-612,0.6122,4.332
SUB-SGW-613,0.0612,4.532
SUB-SGW-614,0.6819,5.306
SUB-SGW-615,0.4013,3.459
SUB-SGW-616,0.1552,5.221
SUB-SGW-617,0.5103,4.244
SUB-SGW-618,0.1601,5.855
SUB-SGW-619,0.3712,5.547
SUB-SGW-620,0.2825,5.415
SUB-SGW-621,0.8016,3.393
SUB-SGW-622,0.4939,4.897
SUB-SGW-623,0.0,3.823
SUB-SGW-624,0.3725,4.963
SUB-SGW-625,0.5326,3.0
SUB-SGW-626,0.4212,3.459
SUB-SGW-627,0.5747,6.189
SUB-SGW-628,0.8635,5.369
SUB-SGW-629,0.3519,4.646
SUB-SGW-630,0.3576,4.091
SUB-SGW-631,0.6009,3.916
SUB-SGW-632,0.3464,5.2
SUB-SGW-633,0.0445,4.656
SUB-SGW-634,0.3355,6.547
SUB-SGW-635,0.3864,4.815
SUB-SGW-636,0.3964,5.059
SUB-SGW-637,0.1418,3.611
SUB-SGW-638,0.5749,4.639
SUB-SGW-639,0.5621,5.177
SUB-SGW-640,0.1677,4.627
SUB-SGW-641,0.2281,4.514
SUB-SGW-642,0.4107,5.327
SUB-SGW-643,0.4692,6.515
SUB-SGW-644,0.4468,5.145
SUB-SGW-645,0.1082,6.144
SUB-SGW-646,0.3912,5.622
SUB-SGW-647,0.5385,6.084
SUB-SGW-648,0.083,4.39
SUB-SGW-649,0.525,4.793
SUB-SGW-650,0.7491,4.797
SUB-SGW-651,0.322,5.546
SUB-SGW-652,0.4332,5.792
SUB-SGW-653,0.4813,5.125
SUB-SGW-654,0.1882,5.877
SUB-SGW-655,0.2582,4.437
SUB-SGW-656,0.1825,5.885
SUB-SGW-657,0.5657,6.016
SUB-SGW-658,0.1026,5.677
SUB-SGW-659,0.4467,5.134
SUB-SGW-660,0.4629,5.713
SUB-SGW-661,0.8846,4.106
SUB-SGW-662,0.515,5.198
SUB-SGW-663,0.1019,5.301
SUB-SGW-664,0.3247,3.67
SUB-SGW-665,0.2451,5.475
SUB-SGW-666,0.3783,3.751
SUB-SGW-667,0.3205,4.572
SUB-SGW-668,0.1066,5.04
SUB-SGW-669,0.3028,4.269
SUB-SGW-670,0.2764,5.083
SUB-SGW-671,0.3464,5.067
SUB-SGW-672,0.3614,4.18
SUB-SGW-673,0.3322,5.568
SUB-SGW-674,0.3593,4.236
SUB-SGW-675,0.1922,7.288
SUB-SGW-676,0.1767,4.891
SUB-SGW-677,0.5146,3.829
SUB-SGW-678,0.3517,4.016
SUB-SGW-679,0.0386,6.148
SUB-SGW-680,0.1149,4.591
SUB-SGW-681,0.3268,3.636
SUB-SGW-682,0.1723,5.854
SUB-SGW-683,0.4035,4.584
SUB-SGW-684,0.6969,5.653
SUB-SGW-685,0.4125,5.936
SUB-SGW-686,0.2571,5.274
SUB-SGW-687,0.13,7.396
SUB-SGW-688,0.3034,3.275
SUB-SGW-689,0.7127,4.182
SUB-SGW-690,0.1943,4.744
SUB-SGW-691,0.0048,7.261
SUB-SGW-692,0.4932,6.798
SUB-SGW-693,0.3455,6.289
SUB-SGW-694,0.2793,4.206
SUB-SGW-695,0.5988,4.322
SUB-SGW-696,0.347,4.171
SUB-SGW-697,0.4126,4.217
SUB-SGW-698,0.3567,6.493
SUB-SGW-699,0.0733,4.756
SUB-SGW-700,0.4919,4.889
SUB-SGW-701,0.1807,5.774
SUB-SGW-702,0.271,3.336
SUB-SGW-703,0.1477,5.053
SUB-SGW-704,0.2635,3.903
SUB-SGW-705,0.2665,4.706
SUB-SGW-706,0.1492,4.414
SUB-SGW-707,0.6239,4.362
SUB-SGW-708,0.2771,5.226
SUB-SGW-709,0.45,5.221
SUB-SGW-710,0.1732,4.78
SUB-SGW-711,0.5682,5.371
SUB-SGW-712,0.312,4.131
SUB-SGW-713,0.4931,5.682
SUB-SGW-714,0.3562,4.794
SUB-SGW-715,0.2134,4.516
SUB-SGW-716,0.3836,4.205
SUB-SGW-717,0.5162,4.759
SUB-SGW-718,0.3119,6.871
SUB-SGW-719,0.6293,4.937
SUB-SGW-720,0.2386,3.856
SUB-SGW-721,0.3417,5.919
SUB-SGW-722,0.6554,4.528
SUB-SGW-723,0.0,5.284
SUB-SGW-724,0.478,4.394
SUB-SGW-725,0.3155,6.281
SUB-SGW-726,0.2377,4.409
SUB-SGW-727,0.3622,6.398
SUB-SGW-728,0.427,3.951
SUB-SGW-729,0.2639,4.707
SUB-SGW-730,0.4191,6.4
SUB-SGW-731,0.3912,5.168
SUB-SGW-732,0.2747,7.271
SUB-SGW-733,0.0989,4.731
SUB-SGW-734,0.6659,5.257
SUB-SGW-735,0.2828,6.905
SUB-SGW-736,0.6013,3.486
SUB-SGW-737,0.3053,3.362
SUB-SGW-738,0.3709,4.204
SUB-SGW-739,0.3878,5.813
SUB-SGW-740,0.6008,3.39
